ROI number;ROI name
1;L Precentral Gyrus
2;R Precentral Gyrus
3;L Superior Frontal Gyrus
4;R Superior Frontal Gyrus
5;L Superior Orbital Gyrus
6;R Superior Orbital Gyrus
7;L Middle Frontal Gyrus
8;R Middle Frontal Gyrus
9;L Middle Orbital Gyrus
10;R Middle Orbital Gyrus
11;L IFG (p. Opercularis)
12;R IFG (p. Opercularis)
13;L IFG (p. Triangularis)
14;R IFG (p. Triangularis)
15;L IFG (p. Orbitalis)
16;R IFG (p. Orbitalis)
17;L Rolandic Operculum
18;R Rolandic Operculum
19;L Posterior-Medial Frontal
20;R Posterior-Medial Frontal
21;L Olfactory cortex
22;R Olfactory cortex
23;L Superior Medial Gyrus
24;R Superior Medial Gyrus
25;L Mid Orbital Gyrus
26;R Mid Orbital Gyrus
27;L Rectal Gyrus
28;R Rectal Gyrus
29;L Insula Lobe
30;R Insula Lobe
31;L Cingulum Ant
32;R Cingulum Ant
33;L Cingulum Mid
34;R Cingulum Mid
35;L Cingulum Post
36;R Cingulum Post
37;L Hippocampus
38;R Hippocampus
39;L ParaHippocampal Gyrus
40;R ParaHippocampal Gyrus
41;L Amygdala
42;R Amygdala
43;L Calcarine Gyrus
44;R Calcarine Gyrus
45;L Cuneus
46;R Cuneus
47;L Lingual Gyrus
48;R Lingual Gyrus
49;L Superior Occipital Gyrus
50;R Superior Occipital Gyrus
51;L Middle Occipital Gyrus
52;R Middle Occipital Gyrus
53;L Inferior Occipital Gyrus
54;R Inferior Occipital Gyrus
55;L Fusiform Gyrus
56;R Fusiform Gyrus
57;L Postcentral Gyrus
58;R Postcentral Gyrus
59;L Superior Parietal Lobule
60;R Superior Parietal Lobule
61;L Inferior Parietal Lobule
62;R Inferior Parietal Lobule
63;L SupraMarginal Gyrus
64;R SupraMarginal Gyrus
65;L Angular Gyrus
66;R Angular Gyrus
67;L Precuneus
68;R Precuneus
69;L Paracentral Lobule
70;R Paracentral Lobule
71;L Caudate Nucleus
72;R Caudate Nucleus
73;L Putamen
74;R Putamen
75;L Pallidum
76;R Pallidum
77;L Thalamus
78;R Thalamus
79;L Heschls Gyrus
80;R Heschls Gyrus
81;L Superior Temporal Gyrus
82;R Superior Temporal Gyrus
83;L Temporal Pole
84;R Temporal Pole
85;L Middle Temporal Gyrus
86;R Middle Temporal Gyrus
87;L Medial Temporal Pole
88;R Medial Temporal Pole
89;L Inferior Temporal Gyrus
90;R Inferior Temporal Gyrus
