year,temperature_anomaly
1960,-0.27
1961,0.32
1962,-1.22
1963,-1.01
1964,-0.43
1965,-0.94
1966,0.36
1967,0.67
1968,-0.2
1969,-0.71
1970,-0.55
1971,0.07
1972,-0.25
1973,0.04
1974,0.79
1975,0.74
1976,0.2
1977,0.24
1978,-0.4
1979,-0.15
1980,-1.06
1981,0.11
1982,0.57
1983,0.96
1984,-0.27
1985,-0.65
1986,0.06
1987,-0.71
1988,0.86
1989,1.21
1990,1.35
1991,0.03
1992,1.38
1993,0.46
1994,1.87
1995,0.85
1996,-0.83
1997,0.65
1998,1.35
1999,1.33
2000,1.91
2001,0.63
2002,1.37
2003,1.19
2004,0.83
2005,0.88
2006,1.3
2007,2.1
2008,1.68
2009,1.38
2010,0.01
2011,1.62
2012,1.51
2013,0.83
2014,2.48
2015,2.54
2016,1.31
2017,1.77
2018,2.82
2019,2.63
2020,2.25
